ATX,20190218,0.145,0.145,0.145,0.145,13904
CSL,20190218,187.78,188.2,186.05,187.04,718124
CD3,20190218,1.68,1.68,1.68,1.68,10262
BPL,20190218,0.019,0.019,0.018,0.019,257329
SVT,20190218,0.013,0.013,0.013,0.013,45053
RXP,20190218,0.52,0.52,0.515,0.515,64698
XIP,20190218,1.58,1.6,1.58,1.6,28954
IBX,20190218,0.029,0.029,0.029,0.029,10000
ACB,20190218,0.04,0.04,0.04,0.04,12029
TMR,20190218,0.235,0.235,0.23,0.23,20057
WAA,20190218,0.98,0.995,0.98,0.995,12296
PUR,20190218,0.037,0.037,0.035,0.036,1818835
IBG,20190218,0.029,0.029,0.028,0.028,838817
HOT,20190218,0.2,0.2,0.2,0.2,10000
CAA,20190218,0.125,0.125,0.125,0.125,69923
MGT,20190218,0.004,0.004,0.004,0.004,1870000
TLX,20190218,0.725,0.725,0.7,0.7,53536
NAE,20190218,0.005,0.005,0.005,0.005,78383
EPM,20190218,0.002,0.003,0.002,0.003,1676666
TGN,20190218,0.25,0.26,0.24,0.26,89734
GTN,20190218,0.91,0.91,0.905,0.905,2176
MOD,20190218,0.315,0.315,0.305,0.305,312043
MRN,20190218,1.95,1.95,1.95,1.95,1000
IDR,20190218,2.9,2.97,2.86,2.94,54013
KFE,20190218,0.089,0.091,0.087,0.091,671600
AUZ,20190218,0.042,0.043,0.042,0.042,3870254
GAP,20190218,0.335,0.335,0.335,0.335,26517
MOY,20190218,0.2,0.205,0.195,0.195,1467153
STX,20190218,0.067,0.067,0.065,0.066,577157
DKM,20190218,0.105,0.105,0.105,0.105,41794
EDE,20190218,0.055,0.055,0.054,0.054,730826
MHC,20190218,0.003,0.003,0.003,0.003,1630592
IP1,20190218,0.031,0.033,0.031,0.031,166000
EML,20190218,1.58,1.58,1.56,1.57,81699
CGC,20190218,5.06,5.17,5.03,5.11,1444257
GBT,20190218,1.685,1.745,1.64,1.675,47304
PSC,20190218,0.021,0.021,0.02,0.02,103098
COE,20190218,0.495,0.51,0.485,0.505,3386798
LAW,20190218,0.06,0.06,0.054,0.054,703593
MCT,20190218,0.012,0.012,0.012,0.012,200000
